model,dataset,mode,map50,precision,recall,f1,fps,n_images,gt_boxes
Default,COCO_val2017,OFF,0.5204,0.8444,0.5337,0.6540,36.2,2693,11004
Default,COCO_val2017,AUTO,0.5204,0.8447,0.5344,0.6547,31.1,2693,11004
v1,COCO_val2017,OFF,0.5225,0.6627,0.5753,0.6159,32.5,2693,11004
v1,COCO_val2017,AUTO,0.5221,0.6632,0.5743,0.6156,34.0,2693,11004
v2,COCO_val2017,OFF,0.5534,0.6280,0.6174,0.6226,36.3,2693,11004
v2,COCO_val2017,AUTO,0.5531,0.6292,0.6159,0.6225,33.7,2693,11004
v3,COCO_val2017,OFF,0.4008,0.6329,0.4572,0.5309,37.2,2693,11004
v3,COCO_val2017,AUTO,0.4007,0.6330,0.4562,0.5302,35.2,2693,11004
v4,COCO_val2017,OFF,0.5646,0.6099,0.6227,0.6162,38.6,2693,11004
v4,COCO_val2017,AUTO,0.5642,0.6120,0.6210,0.6165,34.2,2693,11004
