model,dataset,mode,map50,precision,recall,f1,fps,n_images,gt_boxes
Default,RESIDE,OFF,0.4403,0.9255,0.4415,0.5978,35.5,2734,11366
Default,RESIDE,FOG,0.4497,0.9169,0.4550,0.6082,25.7,2734,11366
Default,RESIDE,AUTO,0.4404,0.9255,0.4416,0.5979,30.3,2734,11366
v1,RESIDE,OFF,0.5827,0.8700,0.5999,0.7102,33.6,2734,11366
v1,RESIDE,FOG,0.5515,0.8662,0.5626,0.6822,23.7,2734,11366
v1,RESIDE,AUTO,0.5827,0.8701,0.5999,0.7101,31.0,2734,11366
v2,RESIDE,OFF,0.6654,0.8275,0.6875,0.7510,34.4,2734,11366
v2,RESIDE,FOG,0.6162,0.8318,0.6324,0.7185,24.5,2734,11366
v2,RESIDE,AUTO,0.6654,0.8275,0.6873,0.7509,29.1,2734,11366
v3,RESIDE,OFF,0.5770,0.8077,0.5944,0.6848,36.1,2734,11366
v3,RESIDE,FOG,0.5548,0.8008,0.5715,0.6670,27.2,2734,11366
v3,RESIDE,AUTO,0.5770,0.8077,0.5944,0.6848,33.1,2734,11366
v4,RESIDE,OFF,0.6749,0.8055,0.6995,0.7487,35.4,2734,11366
v4,RESIDE,FOG,0.6255,0.8075,0.6442,0.7166,27.5,2734,11366
v4,RESIDE,AUTO,0.6749,0.8053,0.6993,0.7485,34.0,2734,11366
